Call Quality,Telelcom Provider,Actual,2011/01,85.10883979
Call Quality,Telelcom Provider,Actual,2011/02,99.56565054
Call Quality,Telelcom Provider,Actual,2011/03,89.1148758
Call Quality,Telelcom Provider,Actual,2011/04,91.56691272
Call Quality,Telelcom Provider,Actual,2011/05,99.07971867
Call Quality,Telelcom Provider,Actual,2011/06,94.30333323
Call Quality,Telelcom Provider,Actual,2011/07,102.628355
Call Quality,Telelcom Provider,Actual,2011/08,95.04336604
Call Quality,Telelcom Provider,Actual,2011/09,91.73712026
Call Quality,Telelcom Provider,Actual,2011/10,87.54339056
Call Quality,Telelcom Provider,Actual,2011/11,84.84386234
Call Quality,Telelcom Provider,Actual,2011/12,94.65639515
Call Quality,Telelcom Provider,Target,2011/01,97
Call Quality,Telelcom Provider,Target,2011/02,97
Call Quality,Telelcom Provider,Target,2011/03,97
Call Quality,Telelcom Provider,Target,2011/04,97
Call Quality,Telelcom Provider,Target,2011/05,97
Call Quality,Telelcom Provider,Target,2011/06,97
Call Quality,Telelcom Provider,Target,2011/07,97
Call Quality,Telelcom Provider,Target,2011/08,97
Call Quality,Telelcom Provider,Target,2011/09,97
Call Quality,Telelcom Provider,Target,2011/10,97
Call Quality,Telelcom Provider,Target,2011/11,97
Call Quality,Telelcom Provider,Target,2011/12,97
Call Completion Rate,Telelcom Provider,Actual,2011/01,91.18457457
Call Completion Rate,Telelcom Provider,Actual,2011/02,89.26762157
Call Completion Rate,Telelcom Provider,Actual,2011/03,90.67551356
Call Completion Rate,Telelcom Provider,Actual,2011/04,88.7233738
Call Completion Rate,Telelcom Provider,Actual,2011/05,88.91160865
Call Completion Rate,Telelcom Provider,Actual,2011/06,91.08292979
Call Completion Rate,Telelcom Provider,Actual,2011/07,88.34748523
Call Completion Rate,Telelcom Provider,Actual,2011/08,89.33176653
Call Completion Rate,Telelcom Provider,Actual,2011/09,90.79444107
Call Completion Rate,Telelcom Provider,Actual,2011/10,88.66628148
Call Completion Rate,Telelcom Provider,Actual,2011/11,91.54366583
Call Completion Rate,Telelcom Provider,Actual,2011/12,90.76506328
Call Completion Rate,Telelcom Provider,Target,2011/01,90
Call Completion Rate,Telelcom Provider,Target,2011/02,90
Call Completion Rate,Telelcom Provider,Target,2011/03,90
Call Completion Rate,Telelcom Provider,Target,2011/04,90
Call Completion Rate,Telelcom Provider,Target,2011/05,90
Call Completion Rate,Telelcom Provider,Target,2011/06,90
Call Completion Rate,Telelcom Provider,Target,2011/07,90
Call Completion Rate,Telelcom Provider,Target,2011/08,90
Call Completion Rate,Telelcom Provider,Target,2011/09,90
Call Completion Rate,Telelcom Provider,Target,2011/10,90
Call Completion Rate,Telelcom Provider,Target,2011/11,90
Call Completion Rate,Telelcom Provider,Target,2011/12,90
Call Drop Rate,Telelcom Provider,Actual,2011/01,0.952267689
Call Drop Rate,Telelcom Provider,Actual,2011/02,2.134962365
Call Drop Rate,Telelcom Provider,Actual,2011/03,1.78772423
Call Drop Rate,Telelcom Provider,Actual,2011/04,2.352543228
Call Drop Rate,Telelcom Provider,Actual,2011/05,1.495892542
Call Drop Rate,Telelcom Provider,Actual,2011/06,1.694549308
Call Drop Rate,Telelcom Provider,Actual,2011/07,0.8422786
Call Drop Rate,Telelcom Provider,Actual,2011/08,1.316070653
Call Drop Rate,Telelcom Provider,Actual,2011/09,2.223156078
Call Drop Rate,Telelcom Provider,Actual,2011/10,1.073734716
Call Drop Rate,Telelcom Provider,Actual,2011/11,1.275567263
Call Drop Rate,Telelcom Provider,Actual,2011/12,0.865845768
Call Drop Rate,Telelcom Provider,Target,2011/01,1.5
Call Drop Rate,Telelcom Provider,Target,2011/02,1.5
Call Drop Rate,Telelcom Provider,Target,2011/03,1.5
Call Drop Rate,Telelcom Provider,Target,2011/04,1.5
Call Drop Rate,Telelcom Provider,Target,2011/05,1.5
Call Drop Rate,Telelcom Provider,Target,2011/06,1.5
Call Drop Rate,Telelcom Provider,Target,2011/07,1.5
Call Drop Rate,Telelcom Provider,Target,2011/08,1.5
Call Drop Rate,Telelcom Provider,Target,2011/09,1.5
Call Drop Rate,Telelcom Provider,Target,2011/10,1.5
Call Drop Rate,Telelcom Provider,Target,2011/11,1.5
Call Drop Rate,Telelcom Provider,Target,2011/12,1.5
Call Setup Time,Telelcom Provider,Actual,2011/01,90.89161721
Call Setup Time,Telelcom Provider,Actual,2011/02,89.24065002
Call Setup Time,Telelcom Provider,Actual,2011/03,86.964517
Call Setup Time,Telelcom Provider,Actual,2011/04,87.80831996
Call Setup Time,Telelcom Provider,Actual,2011/05,93.14148919
Call Setup Time,Telelcom Provider,Actual,2011/06,87.06770704
Call Setup Time,Telelcom Provider,Actual,2011/07,95.13166039
Call Setup Time,Telelcom Provider,Actual,2011/08,90.05030674
Call Setup Time,Telelcom Provider,Actual,2011/09,90.8174201
Call Setup Time,Telelcom Provider,Actual,2011/10,85.8387111
Call Setup Time,Telelcom Provider,Actual,2011/11,92.14299888
Call Setup Time,Telelcom Provider,Actual,2011/12,93.48782016
Call Setup Time,Telelcom Provider,Target,2011/01,95
Call Setup Time,Telelcom Provider,Target,2011/02,95
Call Setup Time,Telelcom Provider,Target,2011/03,95
Call Setup Time,Telelcom Provider,Target,2011/04,95
Call Setup Time,Telelcom Provider,Target,2011/05,95
Call Setup Time,Telelcom Provider,Target,2011/06,95
Call Setup Time,Telelcom Provider,Target,2011/07,95
Call Setup Time,Telelcom Provider,Target,2011/08,95
Call Setup Time,Telelcom Provider,Target,2011/09,95
Call Setup Time,Telelcom Provider,Target,2011/10,95
Call Setup Time,Telelcom Provider,Target,2011/11,95
Call Setup Time,Telelcom Provider,Target,2011/12,95
Answer Seizure Rate (ASR),Metricom,Actual,2011/01,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/02,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/03,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/04,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/05,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/06,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/07,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/08,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/09,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/10,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/11,45.22
Answer Seizure Rate (ASR),Metricom,Actual,2011/12,45.22
Answer Seizure Rate (ASR),Metricom,Target,2011/01,45
Answer Seizure Rate (ASR),Metricom,Target,2011/02,45
Answer Seizure Rate (ASR),Metricom,Target,2011/03,45
Answer Seizure Rate (ASR),Metricom,Target,2011/04,45
Answer Seizure Rate (ASR),Metricom,Target,2011/05,45
Answer Seizure Rate (ASR),Metricom,Target,2011/06,45
Answer Seizure Rate (ASR),Metricom,Target,2011/07,45
Answer Seizure Rate (ASR),Metricom,Target,2011/08,45
Answer Seizure Rate (ASR),Metricom,Target,2011/09,45
Answer Seizure Rate (ASR),Metricom,Target,2011/10,45
Answer Seizure Rate (ASR),Metricom,Target,2011/11,45
Answer Seizure Rate (ASR),Metricom,Target,2011/12,45
Answer Seizure Rate (ASR),Conversys,Actual,2011/01,
Answer Seizure Rate (ASR),Conversys,Actual,2011/02,
Answer Seizure Rate (ASR),Conversys,Actual,2011/03,
Answer Seizure Rate (ASR),Conversys,Actual,2011/04,
Answer Seizure Rate (ASR),Conversys,Actual,2011/05,41
Answer Seizure Rate (ASR),Conversys,Actual,2011/06,41
Answer Seizure Rate (ASR),Conversys,Actual,2011/07,42
Answer Seizure Rate (ASR),Conversys,Actual,2011/08,43
Answer Seizure Rate (ASR),Conversys,Actual,2011/09,44
Answer Seizure Rate (ASR),Conversys,Actual,2011/10,46.23
Answer Seizure Rate (ASR),Conversys,Actual,2011/11,46.23
Answer Seizure Rate (ASR),Conversys,Actual,2011/12,46.23
Answer Seizure Rate (ASR),Conversys,Target,2011/01,45
Answer Seizure Rate (ASR),Conversys,Target,2011/02,45
Answer Seizure Rate (ASR),Conversys,Target,2011/03,45
Answer Seizure Rate (ASR),Conversys,Target,2011/04,45
Answer Seizure Rate (ASR),Conversys,Target,2011/05,45
Answer Seizure Rate (ASR),Conversys,Target,2011/06,45
Answer Seizure Rate (ASR),Conversys,Target,2011/07,45
Answer Seizure Rate (ASR),Conversys,Target,2011/08,45
Answer Seizure Rate (ASR),Conversys,Target,2011/09,45
Answer Seizure Rate (ASR),Conversys,Target,2011/10,45
Answer Seizure Rate (ASR),Conversys,Target,2011/11,45
Answer Seizure Rate (ASR),Conversys,Target,2011/12,45
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/01,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/02,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/03,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/04,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/05,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/06,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/07,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/08,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/09,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/10,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/11,
Answer Seizure Rate (ASR),TeleSynch,Actual,2011/12,
Answer Seizure Rate (ASR),TeleSynch,Target,2011/01,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/02,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/03,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/04,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/05,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/06,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/07,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/08,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/09,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/10,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/11,45
Answer Seizure Rate (ASR),TeleSynch,Target,2011/12,45
Answer Seizure Rate (ASR),Performacall,Actual,2011/01,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/02,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/03,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/04,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/05,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/06,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/07,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/08,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/09,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/10,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/11,44
Answer Seizure Rate (ASR),Performacall,Actual,2011/12,44
Answer Seizure Rate (ASR),Performacall,Target,2011/01,45
Answer Seizure Rate (ASR),Performacall,Target,2011/02,45
Answer Seizure Rate (ASR),Performacall,Target,2011/03,45
Answer Seizure Rate (ASR),Performacall,Target,2011/04,45
Answer Seizure Rate (ASR),Performacall,Target,2011/05,45
Answer Seizure Rate (ASR),Performacall,Target,2011/06,45
Answer Seizure Rate (ASR),Performacall,Target,2011/07,45
Answer Seizure Rate (ASR),Performacall,Target,2011/08,45
Answer Seizure Rate (ASR),Performacall,Target,2011/09,45
Answer Seizure Rate (ASR),Performacall,Target,2011/10,45
Answer Seizure Rate (ASR),Performacall,Target,2011/11,45
Answer Seizure Rate (ASR),Performacall,Target,2011/12,45
